Date,Close,Open,High,Low,7_day_MA,14_day_MA,30_day_MA,Daily_Change,Volatility
2013-04-24,154.2,143.5,166.4,141.0,128.34285714285716,111.94285714285715,120.51,0.07456445993031346,15.582453502027667
2013-04-25,141.7,154.2,162.0,120.1,133.0142857142857,113.14285714285714,122.61666666666666,-0.08106355382619979,13.59159404085576
2013-04-26,136.9,141.7,145.0,121.4,135.64285714285714,114.56428571428572,124.21666666666667,-0.0338743824982356,12.003174183364488
2013-04-27,128.0,136.9,139.9,122.7,135.84285714285713,117.06428571428572,125.61,-0.06501095690284886,11.837913265275587
2013-04-28,134.4,128.0,136.7,127.5,138.0142857142857,120.23571428571428,127.07333333333334,0.050000000000000044,9.42433526770416
2013-04-29,144.0,134.4,149.1,133.0,140.3857142857143,124.63571428571427,128.8,0.0714285714285714,8.333752370416683
2013-04-30,139.2,144.0,146.9,134.0,139.77142857142857,129.69285714285715,130.34,-0.03333333333333344,8.22368820050011
2013-05-01,116.4,139.2,140.1,104.0,134.37142857142857,131.35714285714286,130.75333333333333,-0.1637931034482758,9.484147174050221
2013-05-02,106.3,116.4,126.9,91.1,129.31428571428572,131.1642857142857,130.36333333333334,-0.08676975945017185,13.50906221411239
2013-05-03,98.1,106.3,109.0,79.0,123.77142857142857,129.70714285714286,129.13333333333333,-0.07714016933207901,17.30459614146037
2013-05-04,112.9,98.1,116.3,92.0,121.61428571428573,128.72857142857143,128.49333333333334,0.15086646279306848,17.62776489626784
2013-05-05,116.0,112.9,118.8,107.0,118.9857142857143,128.5,127.61666666666666,0.027457927369353374,16.75364921158252
2013-05-06,112.3,116.0,124.9,106.0,114.45714285714287,127.42142857142858,126.60666666666665,-0.03189655172413797,12.646060933858221
2013-05-07,109.6,112.3,114.0,97.5,110.22857142857143,125.0,124.85,-0.024042742653606397,6.399925594805453
2013-05-08,113.2,109.6,116.8,109.5,109.77142857142857,122.07142857142857,122.37333333333335,0.03284671532846728,5.986572276273456
2013-05-09,112.8,113.2,113.7,108.8,110.7,120.00714285714285,118.46666666666667,-0.0035335689045936647,5.861171668986636
2013-05-10,117.7,112.8,122.5,111.5,113.5,118.63571428571427,116.89000000000001,0.043439716312056786,2.6293218390549615
2013-05-11,115.6,117.7,118.7,113.0,113.88571428571427,117.75,116.58,-0.017841971112999233,2.723006041998421
2013-05-12,114.8,115.6,117.5,112.4,113.71428571428571,116.35000000000001,116.50666666666667,-0.00692041522491349,2.6028372797314696
2013-05-13,118.0,114.8,118.9,114.5,114.52857142857144,114.49285714285715,117.34,0.027874564459930307,2.9544961700847714
2013-05-14,111.4,118.0,119.8,109.4,114.78571428571429,112.50714285714285,118.05333333333333,-0.055932203389830515,2.4969505210876397
